,tweet,tweet_length,tweet_cleaned
21,<e>Obama</e>'s <a>answer</a> to the Libya attacks was just perfect,66,"['Obama', 'answer', 'Libya', 'attack', 'perfect']"
22,JonShuman Sure I bet he was. My dad now has a secure job due to <e>Obama</e>'s support for the 4 billion dollars for the new StratCom building.,143,"['JonShuman', 'Sure', 'bet', 'dad', 'secure', 'job', 'due', 'Obama', 'support', 'billion', 'dollars', 'new', 'StratCom', 'build']"
23,RT @bigjimtx: I appreciate <e>Obama</e>'s pimp <a>walk</a> as he strolls away from that stool #debate,101,"['RT', 'bigjimtx', 'appreciate', 'Obama', 'pimp', 'walk', 'stroll', 'away', 'stool', 'debate']"
24,Yes <e>obama</e>'s <a>main focus</a> is school. That what you guys need to understand we are the future right now,113,"['Yes', 'obama', 'main', 'focus', 'school', 'guy', 'need', 'understand', 'future', 'right']"
25,BUT I know I'm <a>voting</a> for<e> Obama</e>....&amp; not because he's black like most of y'all 😒. Dude did what he said he would for the most part,148,"['know', 'vote', 'Obama', 'amp', 'black', 'like', 'Dude', 'say', 'would', 'part']"
26,"<e>BarackObama</e>I've got Your Back, Obama for president 2012",62,"['BarackObamaI', 'get', 'Back', 'Obama', 'president']"
27,I love <e>Obama</e>. #truth,27,"['love', 'Obama', 'truth']"
28,I hate when people say <e>Obama </e>hasn't done anything for us. You can't fix yeeearrrrs of damage in one term.  #givehimachance,129,"['hate', 'people', 'say', 'Obama', 'do', 'anything', 'us', 'ca', 'fix', 'yeeearrrrs', 'damage', 'one', 'term', 'givehimachance']"
29,I want my next boyfriend to <a>look</a> like <e>Obama</e> 👍😻😘❤❤❤,64,"['want', 'next', 'boyfriend', 'look', 'like', 'Obama']"
30,"Yes <e>Obama</e>is an idealist, but he has made <a>improvements &amp; much of his policies</a> haven't been successful due to congress &amp; that 1% #Debate2012",160,"['Yes', 'Obamais', 'idealist', 'make', 'improvements', 'amp', 'much', 'policies', 'successful', 'due', 'congress', 'amp']"
31,I'm voting for <e>Obama</e> That's my president,47,"['vote', 'Obama', 'president']"
32,<e>Obama</e> has<a> done better job </a>and yeah he needs more time because he came into his term in a hell of a mess before he's term #Obama2012,145,"['Obama', 'do', 'better', 'job', 'yeah', 'need', 'time', 'come', 'term', 'hell', 'mess', 'term']"
33,#<e>Obama</e> wants to <a>fix the broken #immigration system</a>for those standing on the line and enforce border patrol. #ImHereIVote #Undocumented,148,"['Obama', 'want', 'fix', 'break', 'immigration', 'systemfor', 'stand', 'line', 'enforce', 'border', 'patrol', 'ImHereIVote', 'Undocumented']"
34,"President <e>Obama</e> may not be the most perfect man in the world, but I do believe 100% that he is really trying to<a> make a change in our country</a>",154,"['President', 'Obama', 'may', 'perfect', 'man', 'world', 'believe', 'really', 'try', 'make', 'change', 'country']"
35,<e>Obama</e>'s <a>hair</a> is LAID right now. I wonder if he sleeps with a durag on?,84,"['Obama', 'hair', 'LAID', 'right', 'wonder', 'sleep', 'durag']"
36,I liked <e>Obama</e>'s response to that manufacturing question. #PresidentialDebate2012,87,"['like', 'Obama', 'response', 'manufacture', 'question']"
37,I agree with <e>Obama</e>'s last <a>statement</a> on high wages and higher skilled jobs,87,"['agree', 'Obama', 'last', 'statement', 'high', 'wag', 'higher', 'skilled', 'job']"
38,<e>Obama</e>'s <a>last words</a> were on POINT.,47,"['Obama', 'last', 'word', 'POINT']"
39,<e>Obama</e>'s <a>closing statement</a> may have been the best 2 minutes he's had this campaign. Boom.,102,"['Obama', 'close', 'statement', 'may', 'best', 'minutes', 'campaign', 'Boom']"
40,<e>Obama</e>'s <a>ending</a> just killllled it. #debates,56,"['Obama', 'end', 'killllled', 'debate']"
41,Voting because I agree with <e>Obama</e>'s views on subjects most important to me and my near future. Not because I'm an<e> Obama</e> fan.,138,"['Voting', 'agree', 'Obama', 'view', 'subject', 'important', 'near', 'future', 'Obama', 'fan']"
42,"Probably the best debate of <e>Obama</e>'s career, a U-turn from first debate - @Maddow",87,"['Probably', 'best', 'debate', 'Obama', 'career', 'first', 'debate', 'Maddow']"
43,<a>Best performance</a> of<e> Obama</e>'s presidency,52,"['Best', 'performance', 'Obama', 'presidency']"
44,<e>Obama</e>'s ansr to the lst ques was phenomenal Equal opportunity is key to<a> building an economy built to last and moving our country</a>#forward,150,"['Obama', 'ansr', 'lst', 'ques', 'phenomenal', 'Equal', 'opportunity', 'key', 'build', 'economy', 'build', 'last', 'move', 'country', 'forward']"
45,So pleased with<e> Obama</e>'s <a>performance</a> tonight!,58,"['please', 'Obama', 'performance', 'tonight']"
46,Absolutely love <e>Obama</e>'s <a>passion</a>.,46,"['Absolutely', 'love', 'Obama', 'passion']"
47,President <e>Obama</e>'s <a>heart and brilliance</a> shines even brighter!!!,76,"['President', 'Obama', 'heart', 'brilliance', 'shin', 'even', 'brighter']"
48,"What a great debate today! Am enjoying President <e>Obama</e>'s come back. He's been <a>direct, specific, has created empathy</a> and has shown control.",152,"['great', 'debate', 'today', 'enjoy', 'President', 'Obama', 'come', 'back', 'direct', 'specific', 'create', 'empathy', 'show', 'control']"
49,This HD TV Let's me see how Flawless and Smooth <e>Obama</e>'s <a>Skin</a> is... #BlakDontCrack,95,"['HD', 'TV', 'Let', 'see', 'Flawless', 'Smooth', 'Obama', 'Skin', 'BlakDontCrack']"
50,We all know Obama's strongest part of his presidency was foreign policy. <e>Obama</e> should win the next debate handily.,121,"['know', 'Obama', 'strongest', 'part', 'presidency', 'foreign', 'policy', 'Obama', 'win', 'next', 'debate', 'handily']"
51,<e>Obama</e>'s <a>shoes</a> are well polished.,46,"['Obama', 'shoe', 'well', 'polish']"
52,My dad lost his job at the end Bush's turn and got a amazing one in the beginning of <e>Obama</e>'s. I'm not ready for change yet.,130,"['dad', 'lose', 'job', 'end', 'Bush', 'turn', 'get', 'amaze', 'one', 'begin', 'Obama', 'ready', 'change', 'yet']"
53,<e>Obama</e>'s <a>swag</a> is through the roof,46,"['Obama', 'swag', 'roof']"
54,Really impressed with President <e>Obama</e>'s <a>work</a> tonight. Very impressed.,83,"['Really', 'impress', 'President', 'Obama', 'work', 'tonight', 'impress']"
55,One of the things I liked most about <e>Obama</e>'s debate was he stood his ground and when it came down to religion he didn't speak on his,139,"['One', 'things', 'like', 'Obama', 'debate', 'stand', 'grind', 'come', 'religion', 'speak']"
56,"I am in support in <e>Obama</e>'s <a>healthcare plan</a>, as there are 48.6 million uninsured people in this country, including myself",134,"['support', 'Obama', 'healthcare', 'plan', 'million', 'uninsured', 'people', 'country', 'include']"
57, Jason Thompson On <e>Obama</e>: 'We Have The Opportunity' To Send The President <a>Back To Kenya</a> (VIDEO) ,110,"['Jason', 'Thompson', 'Obama', 'Opportunity', 'Send', 'President', 'Back', 'Kenya', 'VIDEO']"
58,<a>Countdown</a> To http://t.co/LbiZXx1T #<a>countdown</a> <e>Obama</e>'s final days,84,"['Countdown', 'http', 'countdown', 'Obama', 'final', 'days']"
59, @BretBaier just saw <e>Obama</e> <a>green America</a>! Your reporting was amazing! Great job!,94,"['BretBaier', 'saw', 'Obama', 'green', 'America', 'report', 'amaze', 'Great', 'job']"
60, i do <a>vote</a> for <e>Obama</e> tho,38,"['vote', 'Obama', 'tho']"
61, <a>Sacbee</a> - Endorsements: Barack <e>Obama</e> for president http://t.co/irGyItPZ,85,"['Sacbee', 'Endorsements', 'Barack', 'Obama', 'president', 'http']"
62, i think <e>Obama</e> is <a>winning</a> :D,42,"['think', 'Obama', 'win']"
63, Its Time For A Change  A Change In Me ! -<e>Obama</e> ! #<a>Vote</a><e>Obama</e>,81,"['Time', 'Change', 'Change', 'Obama', 'VoteObama']"
64, In the current political dispensation President #<e>obama</e> is ably <a>qualified</a> <a>credible</a> pragmatic diplomatic and capable 2 b POTUS,146,"['current', 'political', 'dispensation', 'President', 'obama', 'ably', 'qualify', 'credible', 'pragmatic', 'diplomatic', 'capable', 'b', 'POTUS']"
65, #LarryKingColumn Myron Cohen tells me that Florida is sure to go for <e>obama</e>. This man's auidence is still in <a>Florida</a> gang!,136,"['LarryKingColumn', 'Myron', 'Cohen', 'tell', 'Florida', 'sure', 'go', 'obama', 'man', 'auidence', 'still', 'Florida', 'gang']"
66, President <e>obama</e> you always say that its not about you but us lets go Mr President The Country is depending on you we need <a>4 more years</a>,149,"['President', 'obama', 'always', 'say', 'us', 'let', 'go', 'Mr', 'President', 'Country', 'depend', 'need', 'years']"
67, !!!!! RT @Dmagic716 RT @PopThatTUNEchee <e>obama</e> president for <a>4 more years</a>  the lakers the 2013 champions  next year is gonna be great (:,150,"['RT', 'RT', 'PopThatTUNEchee', 'obama', 'president', 'years', 'lakers', 'champion', 'next', 'year', 'gon', 'na', 'great']"
68, <e>obama</e> </a>leads</a> Mitt in <a>MA</a> by double digits! http://t.co/Y1r41MFo,84,"['obama', 'lead', 'Mitt', 'double', 'digits', 'http']"
69, Unless Texas ratifies <a>gay</a> marriage if <e>obama</e> wins.,64,"['Unless', 'Texas', 'ratify', 'gay', 'marriage', 'obama', 'win']"
70, <e>obama</e> Has Nothing to Do with #<a>Sensata</a>. Fox is Referring to a <a>State Retirement Fund</a> He Had as State Sen. from 97-04 BEFORE Bain Took Over,158,"['obama', 'Nothing', 'Sensata', 'Fox', 'Referring', 'State', 'Retirement', 'Fund', 'State', 'Sen', 'Bain', 'Took']"
71, @hoosierclinger <e>obama</e> Has NO Investment in #<a>Sensata</a>. He Had <a>State Retirement Plan</a> from 97-04 w/ Shares,124,"['hoosierclinger', 'obama', 'Investment', 'Sensata', 'State', 'Retirement', 'Plan', 'w', 'Shares']"
72," ""Every single American deserves to be treated in the eyes of the <a>law</a> & in the eyes of our society."" -Barack <e>obama</e>",128,"['Every', 'single', 'American', 'deserve', 'treat', 'eye', 'law', 'eye', 'society', 'Barack', 'obama']"
73,<a> Malia Burgun</a> liked <e>obama</e> announces U.S. sanctions against telecoms in Iran,89,"['Malia', 'Burgun', 'like', 'obama', 'announce', 'sanction', 'telecoms', 'Iran']"
74, She supported the <e>obama</e> campaign with regards to <a>social media</a>,76,"['support', 'obama', 'campaign', 'regard', 'social', 'media']"
75, I like Barack <e>obama</e>. I don't give a shit what anyone thinks. He's a genuinely <a>nice guy</a>. He's got a nice family. He's good shit. :),145,"['like', 'Barack', 'obama', 'give', 'shit', 'anyone', 'think', 'genuinely', 'nice', 'guy', 'get', 'nice', 'family', 'good', 'shit']"
76," OMG ""The Voice of God <a>narrates</a> latest <a><e>obama</e> ad</a>. | elephant journal"" ( http://t.co/4JkxxHc8 ) // but this OMG does not ",140,"['OMG', 'Voice', 'God', 'narrate', 'latest', 'obama', 'ad', 'elephant', 'journal', 'http', 'OMG']"
77, â€œ@TruthTeam2012: FACT: More than two-thirds of <a>al-Qaeda</a>â€™s leadership has been eliminated since President <e>obama</e> took office. #Lies #nwo #war,158,"['FACT', 'leadership', 'eliminate', 'since', 'President', 'obama', 'take', 'office', 'Lies', 'nwo', 'war']"
78," "" just give <e>obama</e> <a>another chance</a> "" - Madonna",59,"['give', 'obama', 'another', 'chance', 'Madonna']"
79, Lots hanging in the balance for this debate! Pres <e>obama</e> needs 2 make the case 4 <a>re-election</a> & #DEM philosophy. ,126,"['Lots', 'hang', 'balance', 'debate', 'Pres', 'obama', 'need', 'make', 'case', 'DEM', 'philosophy']"
80, These are people who <a>voted</a> for <e>obama</e>. These folks actually go to the voting booths. http://t.co/ltaG7WLJ  â€¦,124,"['people', 'vote', 'obama', 'folks', 'actually', 'go', 'vote', 'booths', 'http']"
81, #MyThoughtsDuringSchool I hope <e>obama</e> <a>win</a>s the election.,70,"['MyThoughtsDuringSchool', 'hope', 'obama', 'win', 'election']"
82, Energized <a>VP</a> may have saved <e>obama</e> campaign  http://t.co/kLSgobKi,79,"['Energized', 'VP', 'may', 'save', 'obama', 'campaign', 'http']"
83,<a> Sacbee - Endorsements</a>: Barack <e>obama</e> for president http://t.co/ERoiDwCz,85,"['Sacbee', 'Endorsements', 'Barack', 'obama', 'president', 'http']"
84, Our financial aid to radical <a>middle east nations</a> must stop  - Join me & tell #<e>obama</e> to stand up for America http://t.co/N08z8xbt,143,"['financial', 'aid', 'radical', 'middle', 'east', 'nations', 'must', 'stop', 'Join', 'tell', 'obama', 'stand', 'America', 'http']"
85, @Kate_Mcaleenan The next step for my dream <the perfect life for the next child  in the future>is Barack <e>obama</e> president! <a>Now and forever</a>!,153,"['Kate_Mcaleenan', 'next', 'step', 'dream', 'Barack', 'obama', 'president', 'forever']"
86, @Camfed The next step for my dream <the perfect life for the next child  in the future>is Barack <e>obama</e> president! <a>Now and forever</a>,144,"['Camfed', 'next', 'step', 'dream', 'Barack', 'obama', 'president', 'forever']"
87, #Zazzle trending gifts : <a>Re-Elect</a> <e>obama</e> Biden 2012 Buttons http://t.co/wPs6gY0v #zazzle,102,"['Zazzle', 'trend', 'gift', 'obama', 'Biden', 'Buttons', 'http', 'zazzle']"
88, <e>obama</e>'s '<a>honest</a> and <a>trustworthy</a>' advantage â€” and what it means for the second ... - Washington Post (blog),130,"['obama', 'trustworthy', 'advantage', 'mean', 'second', 'Washington', 'Post', 'blog']"
89,<a> Economic charts</a> support <e>obama</e> claims on economy.  http://t.co/gAokDoym,85,"['Economic', 'chart', 'support', 'obama', 'claim', 'economy', 'http']"
90, I'm not even giving people an option. <a>Vote</a> <e>obama</e>!,64,"['even', 'give', 'people', 'option', 'Vote', 'obama']"
91, <e>obama</e> Admits <a>Gun Control</a> Plans http://t.co/zY0SDTve,66,"['obama', 'Admits', 'Gun', 'Control', 'Plans', 'http']"
92, '<e>obama</e> administration <a>failed</a> miserably to protect <a>Stevens</a>'http://t.co/kTzibdVF,100,"['administration', 'fail', 'miserably', 'protect']"
93, Why <e>obama</e> Now: http://t.co/eNxMVjz7 via @youtube :) > <e>obama</e> for a <a>better future</a>,101,"['obama', 'http', 'via', 'youtube', 'obama', 'better', 'future']"
94," """"This newspaper has not endorsed a Dem in 50+ years"" --  <e>obama</e> is <a>best choice</a> for president http://t.co/vvOmp7rn (via @journalnow)",146,"['newspaper', 'endorse', 'Dem', 'years', 'obama', 'best', 'choice', 'president', 'http', 'via', 'journalnow']"
95, @realDonaldTrump All <e>obama</e> has to do is show up and he will do better than the first one! I'm sure <a>he is doing well</a> memorizing all the lies.,155,"['realDonaldTrump', 'obama', 'show', 'better', 'first', 'one', 'sure', 'well', 'memorize', 'lie']"
96,<a> <e>obama</e> 2012</a>,25,['obama']
97, @AnotherUpstart Yea & 'everbody n Ohio got <e>obama</e> <a>phone</a>' & we got fd Stmps & ALL over th Cradle2gravers get it all-2013 mor frm Med 2 MCaid!,154,"['AnotherUpstart', 'Yea', 'n', 'Ohio', 'get', 'obama', 'phone', 'get', 'fd', 'Stmps', 'th', 'get', 'mor', 'frm', 'Med', 'MCaid']"
98, A <a>vote</a> for #<e>obama</e> is an investment in a <a>strong future</a> which is why The Philadelphia Inquirer endorses his <a>reelection</a>. http://t.co/T4lpReIv,167,"['vote', 'obama', 'investment', 'strong', 'future', 'Philadelphia', 'Inquirer', 'endorse', 'reelection', 'http']"
99, i do <a>vote</a> for <e>obama</e> tho,38,"['vote', 'obama', 'tho']"
100, i think <e>obama</e> is <a>winning</a> :D,42,"['think', 'obama', 'win']"
101, <e>obama</e> will start his <a>2nd term</a> in les than a month! #<e>obama</e>2012 #Bow,88,"['obama', 'start', 'term', 'les', 'month', 'Bow']"
102, Its Time For A Change  A Change In Me ! -<e>obama</e> ! #<a>Vote</a><e>obama</e>,81,"['Time', 'Change', 'Change', 'obama', 'Voteobama']"
103, Bin Laden gone. America out of <a>Iraq</a> shortly Afghanistan. <a>Medicare</a> improved Affordable <a>Health Care</a> for citizens accomplished. #<e>obama</e>,160,"['Bin', 'Laden', 'go', 'America', 'Iraq', 'shortly', 'Afghanistan', 'Medicare', 'improve', 'Affordable', 'Health', 'Care', 'citizens', 'accomplish', 'obama']"
104," A must read piece by the brilliant @Toure ""Don't worry <e>obama</e>'s still got this"" http://t.co/PiWrOrW2 via @nydailynews #election2012 #<e>obama</e>",152,"['must', 'read', 'piece', 'brilliant', 'Toure', 'worry', 'obama', 'still', 'get', 'http', 'via', 'nydailynews', 'obama']"
105, #LarryKingColumn Myron Cohen tells me that <a>Florida</a> is sure to go for <e>obama</e>. This man's auidence is still in Florida,130,"['LarryKingColumn', 'Myron', 'Cohen', 'tell', 'Florida', 'sure', 'go', 'obama', 'man', 'auidence', 'still', 'Florida']"
106,@Barack<e>Obama</e> Mr. President I believe that you will answer with appropriate support <e>Romney attack's.</e>,113,"['BarackObama', 'Mr', 'President', 'believe', 'answer', 'appropriate', 'support', 'Romney', 'attack']"
107,@beccaa__ thanks. If it wasn't for <e>Obama</e> not only would my dad have lose everything yours would have too.<a> Pensions</a> and all,136,"['beccaa', 'thank', 'Obama', 'would', 'dad', 'lose', 'everything', 'would', 'Pensions']"
108,<a>Women</a> for <e>Obama</e>! RT @americassoul: <a>Republican Attack on Women's Rights</a>. Part 1: http://t.co/TKbDCBNH via @YouTube #fem2 #p2,144,"['Women', 'Obama', 'RT', 'americassoul', 'Republican', 'Attack', 'Women', 'Rights', 'Part', 'http', 'via', 'YouTube']"
109,"@Barack<e>Obama</e> Pls inform the public, that if <a>Romney wld hve sent troops</a> in, then how much more <a>debt</a> that would hve causd...",143,"['BarackObama', 'Pls', 'inform', 'public', 'Romney', 'wld', 'hve', 'send', 'troop', 'much', 'debt', 'would', 'hve', 'causd']"
110,"<a>437,000 jobs</a> in last 3 months. <a>Dow at 5 yr high</a>. Consumer confidence up. Home prices rising. $300B cut in deficit vs. 2011. #forward #<a>Obama</a>",160,"['job', 'last', 'months', 'Dow', 'yr', 'high', 'Consumer', 'confidence', 'Home', 'price', 'rise', 'cut', 'deficit', 'vs', 'forward', 'Obama']"
111,.@petersuderman That + <a>town hall format</a> is why I'm betting on an <e>Obama</e> win.,89,"['petersuderman', 'town', 'hall', 'format', 'bet', 'Obama', 'win']"
112,@jechoot1 PRESIDENT <e>OBAMA</e>'S JOB PERFORMANCE DOES NOT <a>WARRANT</a> REELECTION- I've posted sarcastic reasons to reelect him #whyreelectobama,148,"['PRESIDENT', 'OBAMA', 'JOB', 'PERFORMANCE', 'WARRANT', 'REELECTION', 'post', 'sarcastic', 'reason', 'reelect', 'whyreelectobama']"
113,We owe <e>Barack Obama<e> big time. Few presidents have dealt with such an <a>obstructionist opposition</a> and STILL moved us forward... #ctl #tcot #p2,152,"['owe', 'Barack', 'Obama', 'big', 'time', 'presidents', 'deal', 'obstructionist', 'opposition', 'STILL', 'move', 'us', 'forward', 'ctl', 'tcot']"
114,Students Pick <e>Obama</e> 51 to 45. They have mirrored the actual outcome of all but two <a>presidential elections</a> since 1940. http://t.co/22xNJDPg,152,"['Students', 'Pick', 'Obama', 'mirror', 'actual', 'outcome', 'two', 'presidential', 'elections', 'since', 'http']"
115,"@Amani_Lebanon @chengugold To start an <a>""Iranian led"" revolution</a>, make the people suffer. Nice one <e>Obama</e> et al. #NotSuprisedButStillSickened",153,"['Amani_Lebanon', 'chengugold', 'start', 'Iranian', 'lead', 'revolution', 'make', 'people', 'suffer', 'Nice', 'one', 'Obama', 'et', 'al', 'NotSuprisedButStillSickened']"
116,FYI. #GlideChurch #GLIDEsf #Obama  RT @HuffingtonPost: WATCH: <a>LGBT celebrities star</a> in new video supporting <e>Obama</a> http://t.co/WqT5kPJl,148,"['FYI', 'GlideChurch', 'GLIDEsf', 'Obama', 'RT', 'HuffingtonPost', 'WATCH', 'LGBT', 'celebrities', 'star', 'new', 'video', 'support', 'Obama', 'http']"
117,@ByronYork This type of tactic from the <a>NYT</a> doesn't surprise me.  They have lost all integrity since they threw it all in for <e>Obama</e>.,146,"['ByronYork', 'type', 'tactic', 'NYT', 'surprise', 'lose', 'integrity', 'since', 'throw', 'Obama']"
118,"@Lpbrant @GbrantGary Forgot about Ruby!  OK, I'm switching to <e>Obama</e> now.  Sold.",86,"['Lpbrant', 'GbrantGary', 'Forgot', 'Ruby', 'OK', 'switch', 'Obama', 'Sold']"
119,I'm speaking it into existence. <e>Obama</e> <a>wins</a> tonight. Hands down.,77,"['speak', 'existence', 'Obama', 'win', 'tonight', 'Hands']"
120,"@realus232 92% of <a>O supporters</a> following elec very closely <e>Obama</e> ""definitely"" support him vs. 78% of those following less closely",143,"['supporters', 'follow', 'elec', 'closely', 'Obama', 'definitely', 'support', 'vs', 'follow', 'less', 'closely']"
121,@JohnWilson Bill's going all-in TODAY for Pres. <e>Obama</e>. He's <a>no fool</a>. All on the same page. Think we'll see tonight.,129,"['JohnWilson', 'Bill', 'go', 'TODAY', 'Pres', 'Obama', 'fool', 'page', 'Think', 'see', 'tonight']"
122,<e>Obama</e> did not qualify for the error exists with the elections so I expected his<a> victory</a>.,102,"['Obama', 'qualify', 'error', 'exist', 'elections', 'expect', 'victory']"
123,"@PoofImGraham Latest political stunt: ""Rumor"" has it, <e>Obama</e> is planning a '<a>gutsy</a>' move against militants.",119,"['PoofImGraham', 'Latest', 'political', 'stunt', 'Rumor', 'Obama', 'plan', 'move', 'militants']"
124,@AliNBCNews even Gene Simmons is bailing on <e>Obama</e>...,59,"['AliNBCNews', 'even', 'Gene', 'Simmons', 'bail', 'Obama']"
125,@TashaOuch RT @Barack<e>Obama</e>: Just 21 days until Election Day RT if youâ€™re <a>ready 2 cheer</a> on President <e>Obama</e> tonightâ€™s debate #Team<e>Obama</e>Biden,170,"['TashaOuch', 'RT', 'BarackObama', 'days', 'Election', 'Day', 'RT', 'ready', 'cheer', 'President', 'Obama', 'debate', 'TeamObamaBiden']"
126,@_JJenkins nah it's not. <e>obama</e> was put in a fucked up <a>situation</a>. it takes time for change but you know people are impatient. romney's ready,153,"['JJenkins', 'nah', 'obama', 'put', 'fuck', 'situation', 'take', 'time', 'change', 'know', 'people', 'impatient', 'romney', 'ready']"
127,"You won't have to #<a>FightForJobs<a> once #<e>Obama</e> gets the boot, people will start hiring again. There's nothing wrong with America.",139,"['wo', 'FightForJobs', 'Obama', 'get', 'boot', 'people', 'start', 'hire', 'nothing', 'wrong', 'America']"
128,"@Team_Shep. Unless the audience is nothing but <a>CEOs,  definitely</a> <e>Obama</e>",84,"['Team_Shep', 'Unless', 'audience', 'nothing', 'CEOs', 'definitely', 'Obama']"
129,"Wish these ppl stop tweeting me just because they support <e>Romney</e> n I <a>support</a> <e>Obama</e>. Re-effing-lax, its all good to have differing views",156,"['Wish', 'ppl', 'stop', 'tweet', 'support', 'Romney', 'n', 'support', 'Obama', 'good', 'differ', 'view']"
130,"Despite Ryan's Heritage, Ireland Sticks With <e>Obama</e> ~ #jdforward http://t.co/DDmx2DCT",91,"['Despite', 'Ryan', 'Heritage', 'Ireland', 'Sticks', 'Obama', 'jdforward', 'http']"
131,"You won't often catch me defending <e>Obama</e>, but sub-$2 <a>gas prices</a> when he took office were temporary. It was over $4 a month prior under Bush.",154,"['wo', 'often', 'catch', 'defend', 'Obama', 'sub', 'gas', 'price', 'take', 'office', 'temporary', 'month', 'prior', 'Bush']"
132,"RT New Yorkers, <a>show ur support</a> for <e>Obama</e> tonight with patriotic banners and <e>Obama</e> signs outside the debate venue! Show Mitt he's not wanted",161,"['RT', 'New', 'Yorkers', 'show', 'ur', 'support', 'Obama', 'tonight', 'patriotic', 'banners', 'Obama', 'sign', 'outside', 'debate', 'venue', 'Show', 'Mitt', 'want']"
133,"@GMA Agree that President <e>Obama</e> must be <a>assertive<a/>  and direct with <a>short, clear answers</a>.",109,"['GMA', 'Agree', 'President', 'Obama', 'must', 'assertive', 'direct', 'short', 'clear', 'answer']"
134,@AmeenOutspoken <e>Obama</e>,28,"['AmeenOutspoken', 'Obama']"
135,@AntReis2830 This is true. But now <e>Obama</e> knows what to expect and can come back stronger.,96,"['true', 'Obama', 'know', 'expect', 'come', 'back', 'stronger']"
136,"If <e>Obama</e> <a>Loses</a>, I Say We Move To Europe... NIGGAS IN PARIS!",73,"['Obama', 'Loses', 'Say', 'Move', 'Europe', 'NIGGAS', 'PARIS']"
137,WOW! An incredibly moving and effective <e>Obama</e><e> ad </e>highlights the progress of <a>LGBT community</a>. A MUST SEE!  #forward2012  http://t.co/P1Adj9Ch,160,"['WOW', 'incredibly', 'move', 'effective', 'Obama', 'ad', 'highlight', 'progress', 'LGBT', 'community', 'MUST', 'SEE', 'http']"
