,tweet,tweet_length,tweet_cleaned
72,@lLoveCoffee @mitt<e>Romney</e> for<a> sure</a>. The USA can't take 4 more of <e>Obama</e>. #BadEconomy #Debt #unemployment #HighGasoline 46.7 on food stamps!!!,160,"['lLoveCoffee', 'mittRomney', 'sure', 'USA', 'ca', 'take', 'Obama', 'BadEconomy', 'Debt', 'unemployment', 'HighGasoline', 'food', 'stamp']"
73,Letter from Ex-MRS. POCHO: â€˜All employees must <a>vote</a> for <e>Romney</e>â€™ http://t.co/UXTK0Wq3 via @PochoDotCom<,120,"['Letter', 'POCHO', 'employees', 'must', 'vote', 'http', 'via', 'PochoDotCom']"
74,@NewsNinja2012 <e>Obama</e> has <a>divided this country</a>. It is so sad to see this but it makes me more <a>determined</a> than ever to vote for <e>Romney</e>,160,"['Obama', 'divide', 'country', 'sad', 'see', 'make', 'determine', 'ever', 'vote', 'Romney']"
75,"@DLoesch Boehlert claiming the <a>media</a> has been in the tank for <e>Romney</e> is the equivalent of Henry Winkler, a pair of skis and a shark tank.",151,"['DLoesch', 'Boehlert', 'claim', 'media', 'tank', 'Romney', 'equivalent', 'Henry', 'Winkler', 'pair', 'ski', 'shark', 'tank']"
76,"@KeithKingbay I'm voting for <e>Romney</e>/ Ryan, because I'm just flat out tired of <a>women having rights</a>.",112,"['KeithKingbay', 'vote', 'Romney', 'Ryan', 'flat', 'tire', 'women', 'right']"
77,@CommonSensePre1 TYSM for the followâ£ Now following back! Go <e>Mitt</e> tonite!,82,"['TYSM', 'follow', 'back', 'Go', 'Mitt', 'tonite']"
78,-@hollybdc's incredible piece about <e>Romney</e>'s hands-on <a>campaign style<a> is a must read: http://t.co/UPs7KlHy,118,"['hollybdc', 'incredible', 'piece', 'Romney', 'campaign', 'style', 'must', 'read', 'http']"
79,"@MarkRMatthews ..and <e>Romney</e> will win again tonight.  A man with the <a>truth</a> on his side, and divine providence can't help but win!",142,"['MarkRMatthews', 'Romney', 'win', 'tonight', 'man', 'truth', 'side', 'divine', 'providence', 'ca', 'help', 'win']"
80,"@AdriannaLunaxxx   Like the <e>Romney</e> <a>campaign</a> says, the government needs to stay out of businesses way",114,"['AdriannaLunaxxx', 'Like', 'Romney', 'campaign', 'say', 'government', 'need', 'stay', 'businesses', 'way']"
81,<a>Women</a> going huge 4 <e>Romney</e>; we luv alpha males! My latest pc atWashTimes http://t.co/W8H7RscG @Team<e>Romney</e> @TwitchyPolitics@RedState#tcot#war,160,"['Women', 'go', 'huge', 'Romney', 'luv', 'alpha', 'males', 'latest', 'pc', 'atWashTimes', 'http', 'TeamRomney', 'TwitchyPolitics', 'RedState', 'tcot', 'war']"
82,"@BreitbartNews Gibbs, you can wish in one hand, and sh**!in the other, wishing don't make it so. <a>FACTS</a> are still on <e>Romney</e>'s side.",144,"['BreitbartNews', 'Gibbs', 'wish', 'one', 'hand', 'sh', 'wish', 'make', 'FACTS', 'still', 'Romney', 'side']"
83,"Time short,<a> women abandoning</a> <e>Obama</e>, NYT goes all in: 'A <e>Romney</e>-Ryan <a>victory</a> could result in re-criminalizing abortion in much of America.'",166,"['Time', 'short', 'women', 'abandon', 'Obama', 'NYT', 'go', 'victory', 'could', 'result', 'abortion', 'much', 'America']"
84,"#<e>Romney</e> accuses critics of his <a>tax plan</a> of using calculators: ""My numbers were pulled directly from my magical ass"" http://t.co/YvXAfvbo",150,"['Romney', 'accuse', 'critics', 'tax', 'plan', 'use', 'calculators', 'number', 'pull', 'directly', 'magical', 'ass', 'http']"
85,".@davidaxelrod ""We the small, we are very strong"" <e>ROMNEY</>/BAIN China Outsourced <a>French workers</a> #Bainport #Sensata http://t.co/rCw5SwbG",146,"['davidaxelrod', 'small', 'strong', 'China', 'Outsourced', 'French', 'workers', 'Bainport', 'Sensata', 'http']"
86,@Claremonster: Mitt <e>Romney</e>'s <a>financial plan</a> http://t.co/JSe9cov7 omg this is the best thing,105,"['Claremonster', 'Mitt', 'Romney', 'financial', 'plan', 'http', 'omg', 'best', 'thing']"
87,@Likonium It should be the other way around. You'll be more likely to <a>find a job</a> after <e>Romney</e> gets elected.,121,"['Likonium', 'way', 'around', 'likely', 'find', 'job', 'Romney', 'get', 'elect']"
88,<a>Women</a> moving to <e>Romney</e>,36,"['Women', 'move', 'Romney']"
89,"@AnnDRomney Praying 4 Mitt and our Country. God provides the strength of message, and has given <e>Mitt</e> the <a>talents</a> to deliver it. Go Mitt!",150,"['AnnDRomney', 'Praying', 'Mitt', 'Country', 'God', 'provide', 'strength', 'message', 'give', 'Mitt', 'talents', 'deliver', 'Go', 'Mitt']"
90,"@Jennyablue plus no matter what happens the media <a>will cry</a> zomg! <e>romney</e> won! cant tell a lie! look at the ""mittmentum"" building @tcoop122",151,"['Jennyablue', 'plus', 'matter', 'happen', 'media', 'cry', 'zomg', 'romney', 'cant', 'tell', 'lie', 'look', 'mittmentum', 'build']"
91,"@DK1590, I agree <e>Romney</e> needs to <a>elaborate</a> a little more.",71,"['agree', 'Romney', 'need', 'elaborate', 'little']"
92,<e>women</e> push <e>Romney</e> into lead. says #usatoday...like...wtf!? why? WOMEN. get it TOGETHER.,101,"['women', 'push', 'Romney', 'lead', 'say', 'usatoday', 'like', 'wtf', 'WOMEN', 'get', 'TOGETHER']"
93,I believe <e>Mitt</e>'s slight <a>lead in RCP national average</a> means he's actually significantly ahead bc  averaged polls still biased toward Dems,150,"['believe', 'Mitt', 'slight', 'lead', 'RCP', 'national', 'average', 'mean', 'actually', 'significantly', 'ahead', 'bc', 'average', 'poll', 'still', 'bias', 'toward', 'Dems']"
94,@BillMedley1 I'm working away this morning. I'm excited about the<a> debate</a>. I want <e>Romney</e> to seal the deal! Will you call him &amp; tell him?,153,"['work', 'away', 'morning', 'excite', 'debate', 'want', 'Romney', 'seal', 'deal', 'call', 'amp', 'tell']"
95,"@DianneInIndiana @KatyinIndy Yes, Yes, Yes &amp; Yes. Too bad more don't see this. They are blinded thinking a #<e>Romney</e> <a>victory</a> will fix all.",154,"['DianneInIndiana', 'KatyinIndy', 'Yes', 'Yes', 'Yes', 'amp', 'Yes', 'bad', 'see', 'blind', 'think', 'Romney', 'victory', 'fix']"
96,- Former President George W. <a>Bush re-affirmed his support</> of Mitt <e>Romney</>... http://t.co/C33e0lIg,108,"['Former', 'President', 'George', 'W', 'Bush', 'support', 'Mitt', 'Romney', 'http']"
97,"@AdamGraySays    Well there you go then, <e>Romney</e>'s up 1. Not much of  surge is it...",90,"['AdamGraySays', 'Well', 'go', 'Romney', 'much', 'surge']"
98,@JBabits hopefully he <a>wins</a>. America is done for if <e>Obama</e> wins again. I just wish America would grow a brain and realize that. Although <e>RomneY</e>,162,"['JBabits', 'hopefully', 'win', 'America', 'do', 'Obama', 'win', 'wish', 'America', 'would', 'grow', 'brain', 'realize', 'Although', 'RomneY']"
99,@betty_five Mitt <e>Romney</e>.,31,"['betty_five', 'Mitt', 'Romney']"
100,"<a>Zionist U.S. College Students</a> Are Favoring<e>Romney</e>: For Zionist students, <a>foreign policy</a>, and particularly the ca... http://t.co/hElIPq5h",156,"['Zionist', 'College', 'Students', 'FavoringRomney', 'Zionist', 'students', 'foreign', 'policy', 'particularly', 'ca', 'http']"
101,@TerryMoran  #<e>Obama</e> said #Americans increasingly Naiive https://t.co/0VP9t7gG He thinks he can<a> fool the people</a> all of the time #vote<e>Romney</e>,159,"['TerryMoran', 'Obama', 'say', 'Americans', 'increasingly', 'Naiive', 'https', 'think', 'fool', 'people', 'time', 'voteRomney']"
102,"@Jaykelllz If he does the bullshit he did the last debate, might as well spoon feed <e>Romney</e> the election",110,"['Jaykelllz', 'bullshit', 'last', 'debate', 'might', 'well', 'spoon', 'fee', 'Romney', 'election']"
103, <e>Romney</e>'s campaign and @dansenor and @jasoninthehouse <Crickets!!!> Wow it's mighty quiet out there.. #msnbc2012 #Debates,128,"['Romney', 'campaign', 'dansenor', 'jasoninthehouse', 'Wow', 'mighty', 'quiet', 'Debates']"
104, @rammanson1 I'm getting a better feeling about <e>Romney</e> by the day. Actually think he may win,99,"['get', 'better', 'feel', 'Romney', 'day', 'Actually', 'think', 'may', 'win']"
105, Let's get ready to rumble!!!!!!!!!! Team <e>Romney</e> up and ready to go!,75,"['Let', 'get', 'ready', 'rumble', 'Team', 'Romney', 'ready', 'go']"
106, <e>Romney</e> yo. âœŒ,22,"['Romney', 'yo', 'âœŒ']"
107, Hang another one up for <e>Romney</e>! #<e>Romney</e>Ryan2012,62,"['Hang', 'another', 'one', 'Romney']"
108," ""@MsSonyaJizzle: ""Governor <e>Romney</e> showed that the first <a>debate</a> was not a fluke.""""damn Sonya u for Rommey???",122,"['MsSonyaJizzle', 'Governor', 'Romney', 'show', 'first', 'debate', 'fluke', 'damn', 'Sonya', 'u', 'Rommey']"
109," According to Paul Ryan email I just received, Mitt <e>Romney</e> ""crushed it"" tonight. Cool story, bro.",104,"['According', 'Paul', 'Ryan', 'email', 'receive', 'Mitt', 'Romney', 'crush', 'tonight', 'Cool', 'story', 'bro']"
110, Vegas focus group says #<e>Romney</e> won,42,"['Vegas', 'focus', 'group', 'say', 'Romney']"
111," Regardless of what the pundits are saying, <e>Romney</e> won again. #Debate2012",80,"['Regardless', 'pundits', 'say', 'Romney']"
112," Stephen Schwarzman, chairman of the world's largest private equity firm, endorses Mitt <e>Romney</e> Nov 28, 2011 http://t.co/AgF4koyw #EndorseMITT",148,"['Stephen', 'Schwarzman', 'chairman', 'world', 'largest', 'private', 'equity', 'firm', 'endorse', 'Mitt', 'Romney', 'Nov', 'http', 'EndorseMITT']"
113," That @FrankLuntz focus group is a real hoot. ""<e>Romney</e>!"" #figures",71,"['FrankLuntz', 'focus', 'group', 'real', 'hoot', 'Romney', 'figure']"
114, I would say that we should settle the presidential race over a basketball game but we all know who would win. <e>Romney</e>'s J is amazing.,140,"['would', 'say', 'settle', 'presidential', 'race', 'basketball', 'game', 'know', 'would', 'win', 'Romney', 'J', 'amaze']"
115, I've decided to vote <e>Romney</e>.   Ha ha ha. Good night!,60,"['decide', 'vote', 'Romney', 'Ha', 'ha', 'ha', 'Good', 'night']"
116, @KarlRove <e>Romney</e> was the clear winner on more points.,61,"['KarlRove', 'Romney', 'clear', 'winner', 'point']"
117, Gallup: <e>Romney</e> Jumps to 4 Point Lead Ahead of <a>Debate</a> http://t.co/ACxIHZR3,88,"['Gallup', 'Romney', 'Jumps', 'Point', 'Lead', 'Ahead', 'Debate', 'http']"
118, @eclarkster going on the line <e>Romney</e> will win,53,"['eclarkster', 'go', 'line', 'Romney', 'win']"
119, @megynkelly I want to say <e>Romney</e> cares..he truly does I seen that in this <a>debate</a>. He is honest hardworking Godly and caring.,139,"['megynkelly', 'want', 'say', 'Romney', 'care', 'truly', 'see', 'debate', 'honest', 'hardworking', 'Godly', 'care']"
120," All I have to say is, <e>Romney</e> all the wayðŸ‘",52,"['say', 'Romney', 'wayðŸ']"
121, <e>Romney</e> for President http://t.co/rglpxGi2 via @newyorkobserver,70,"['Romney', 'President', 'http', 'via', 'newyorkobserver']"
122, I barely got to watch the #presidential<a>debate</a> but <e>Romney</e>'s views on <a>immigration policy</a> are rather impressive,130,"['barely', 'get', 'watch', 'presidentialdebate', 'Romney', 'view', 'immigration', 'policy', 'rather', 'impressive']"
123, oven. mitt. bwa. ha. ha. RT @jbossbrown OvenMitt <e>Romney</e> was getting a little too close to my president.,111,"['oven', 'mitt', 'bwa', 'ha', 'ha', 'RT', 'jbossbrown', 'OvenMitt', 'Romney', 'get', 'little', 'close', 'president']"
124, CU formula 100% right in picking winner since developed in 1980. Says 77% likelihood <e>Romney</e> is next president http://t.co/9UwLReZo #<a>debate</a>,153,"['CU', 'formula', 'right', 'pick', 'winner', 'since', 'develop', 'Says', 'likelihood', 'Romney', 'next', 'president', 'http', 'debate']"
125," ""I believe Governor <e>Romney</e> is a good man. I believe that he said behind closed doors that <a>47%</a> of Americans are victims"" - President <e>Obama</e>""",160,"['believe', 'Governor', 'Romney', 'good', 'man', 'believe', 'say', 'behind', 'close', 'doors', 'Americans', 'victims', 'President', 'Obama']"
126," Trust me, Candy Crowley's revelation after the <a>debate</a> that <e>Romney</e> was ""right in the main"" on Libya will not matter tomorrow.",139,"['Trust', 'Candy', 'Crowley', 'revelation', 'debate', 'Romney', 'right', 'main', 'Libya', 'matter', 'tomorrow']"
127, <e>Romney</e> ftw #<e>Romney</e>forpresident,45,"['Romney', 'ftw', 'Romneyforpresident']"
128, @timminycricket @2hrsand7mins Fox News says that #<e>Romney</e> won our relationship,85,"['timminycricket', 'Fox', 'News', 'say', 'Romney', 'relationship']"
129, I hope <e>Romney</e> wins,26,"['hope', 'Romney', 'win']"
130,"@GhettoEnglish: Bands will make <a>her</a>dance , stamps will make her twerk , If <e>Romney</e> becomes president , all these hoes will have to work.",149,"['GhettoEnglish', 'Bands', 'make', 'herdance', 'stamp', 'make', 'twerk', 'Romney', 'become', 'president', 'hoe', 'work']"
131,"POTUS should strongly show he lowered debt NOT raised. <a>Handling debit </a>only issue in <e>Romney</e> + column. Fast, passionate and no heavy math.",150,"['POTUS', 'strongly', 'show', 'lower', 'debt', 'raise', 'Handling', 'debit', 'issue', 'Romney', 'column', 'Fast', 'passionate', 'heavy', 'math']"
132,"Amen..RT @csimm16: Dear Lord, Gv Future Prsdnt <e>Romney<e> the<a> insightshow his grace</a>, the<a> knowledge of right & wrong</a> the<a> courage 2 fight for us.</a>",166,"['Amen', 'RT', 'Dear', 'Lord', 'Gv', 'Future', 'Prsdnt', 'Romney', 'insightshow', 'grace', 'knowledge', 'right', 'wrong', 'courage', 'fight', 'us']"
133,<a> Five Reasons</a> Why Itâ€™s President<e> Romney</e> http://t.co/fzEaloUY via @theblaze,90,"['Five', 'Reasons', 'President', 'Romney', 'http', 'via', 'theblaze']"
134,"Bands will make <a>her</a> Dance, Stamps will make her Twerk, If <e>Romney</e> becomes president, These girls will have to Work",127,"['Bands', 'make', 'Dance', 'Stamps', 'make', 'Twerk', 'Romney', 'become', 'president', 'girls', 'Work']"
135,@ibhsffo @OhioAllenJNS Whatevs. <e>Romney's</e><a> winning this thing</a>.11/7 is gonna be a day of morning for Obama pod people,128,"['ibhsffo', 'OhioAllenJNS', 'Whatevs', 'Romney', 'win', 'gon', 'na', 'day', 'morning', 'Obama', 'pod', 'people']"
136,David Stockman On <e>Mitt Romney</e>: 'He Was<a> A Master Financial Speculator'</a> http://t.co/gsFhYnmf via @HuffPostBiz operative word RIGGED,143,"['David', 'Stockman', 'Mitt', 'Romney', 'Master', 'Financial', 'Speculator', 'http', 'via', 'HuffPostBiz', 'operative', 'word', 'RIGGED']"
